"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2021-01-01T07:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",302.2,"provisorisch"
"2021-01-01T07:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.86,"provisorisch"
"2021-01-01T07:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.01,"provisorisch"
"2021-01-01T07:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.56,"provisorisch"
"2021-01-01T07:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",88.61,"provisorisch"
"2021-01-01T07:00+0100","Zch_Schimmelstrasse","p","h1","hPa",958.32,"provisorisch"
"2021-01-01T07:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",40.82,"provisorisch"
"2021-01-01T07:00+0100","Zch_Schimmelstrasse","WD","h1","°",322.56,"provisorisch"
"2021-01-01T07:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.15,"provisorisch"
"2021-01-01T07:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.83,"provisorisch"
"2021-01-01T07:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2,"provisorisch"
"2021-01-01T07:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",94.01,"provisorisch"
"2021-01-01T07:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",955.93,"provisorisch"
"2021-01-01T07:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",32.53,"provisorisch"
"2021-01-01T07:00+0100","Zch_Rosengartenstrasse","WD","h1","°",191,"provisorisch"
"2021-01-01T07:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.19,"provisorisch"
"2021-01-01T07:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.32,"provisorisch"
"2021-01-01T08:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",1.8,"provisorisch"
"2021-01-01T08:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",93.78,"provisorisch"
"2021-01-01T08:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",956.09,"provisorisch"
"2021-01-01T08:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0.08,"provisorisch"
"2021-01-01T08:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",9.69,"provisorisch"
"2021-01-01T08:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",246.78,"provisorisch"
"2021-01-01T08:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.04,"provisorisch"
"2021-01-01T08:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.53,"provisorisch"
"2021-01-01T08:00+0100","Zch_Schimmelstrasse","T","h1","°C",2.63,"provisorisch"
"2021-01-01T08:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",87.99,"provisorisch"
"2021-01-01T08:00+0100","Zch_Schimmelstrasse","p","h1","hPa",958.74,"provisorisch"
"2021-01-01T08:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.53,"provisorisch"
"2021-01-01T08:00+0100","Zch_Schimmelstrasse","WD","h1","°",279.6,"provisorisch"
"2021-01-01T08:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0,"provisorisch"
"2021-01-01T08:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.5,"provisorisch"
"2021-01-01T08:00+0100","Zch_Rosengartenstrasse","T","h1","°C",1.99,"provisorisch"
"2021-01-01T08:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",93.91,"provisorisch"
"2021-01-01T08:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",956.42,"provisorisch"
"2021-01-01T08:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.55,"provisorisch"
"2021-01-01T08:00+0100","Zch_Rosengartenstrasse","WD","h1","°",150.53,"provisorisch"
"2021-01-01T08:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.19,"provisorisch"
"2021-01-01T08:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.32,"provisorisch"
"2021-01-01T09:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.33,"provisorisch"
"2021-01-01T09:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",90.01,"provisorisch"
"2021-01-01T09:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",956.32,"provisorisch"
"2021-01-01T09:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T09:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",49.15,"provisorisch"
"2021-01-01T09:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",29.92,"provisorisch"
"2021-01-01T09:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",0.04,"provisorisch"
"2021-01-01T09:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",0.48,"provisorisch"
"2021-01-01T09:00+0100","Zch_Schimmelstrasse","T","h1","°C",3.14,"provisorisch"
"2021-01-01T09:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",85.63,"provisorisch"
"2021-01-01T09:00+0100","Zch_Schimmelstrasse","p","h1","hPa",958.94,"provisorisch"
"2021-01-01T09:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T09:00+0100","Zch_Schimmelstrasse","WD","h1","°",308.89,"provisorisch"
"2021-01-01T09:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.03,"provisorisch"
"2021-01-01T09:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.38,"provisorisch"
"2021-01-01T09:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.22,"provisorisch"
"2021-01-01T09:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",93.15,"provisorisch"
"2021-01-01T09:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",956.66,"provisorisch"
"2021-01-01T09:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T09:00+0100","Zch_Rosengartenstrasse","WD","h1","°",99.49,"provisorisch"
"2021-01-01T09:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.27,"provisorisch"
"2021-01-01T09:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.26,"provisorisch"
"2021-01-01T10:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.61,"provisorisch"
"2021-01-01T10:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",87.9,"provisorisch"
"2021-01-01T10:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",956.61,"provisorisch"
"2021-01-01T10:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T10:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",92.7,"provisorisch"
"2021-01-01T10:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",292.18,"provisorisch"
"2021-01-01T10:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",1.01,"provisorisch"
"2021-01-01T10:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.08,"provisorisch"
"2021-01-01T10:00+0100","Zch_Schimmelstrasse","T","h1","°C",3.32,"provisorisch"
"2021-01-01T10:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",83.47,"provisorisch"
"2021-01-01T10:00+0100","Zch_Schimmelstrasse","p","h1","hPa",959.32,"provisorisch"
"2021-01-01T10:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T10:00+0100","Zch_Schimmelstrasse","WD","h1","°",325.58,"provisorisch"
"2021-01-01T10:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.12,"provisorisch"
"2021-01-01T10:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.68,"provisorisch"
"2021-01-01T10:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.79,"provisorisch"
"2021-01-01T10:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",90.2,"provisorisch"
"2021-01-01T10:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",957,"provisorisch"
"2021-01-01T10:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T10:00+0100","Zch_Rosengartenstrasse","WD","h1","°",206.57,"provisorisch"
"2021-01-01T10:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.28,"provisorisch"
"2021-01-01T10:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.42,"provisorisch"
"2021-01-01T11:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.78,"provisorisch"
"2021-01-01T11:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",86.84,"provisorisch"
"2021-01-01T11:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",956.75,"provisorisch"
"2021-01-01T11:00+0100","Zch_Stampfenbachstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T11:00+0100","Zch_Stampfenbachstrasse","StrGlo","h1","W/m2",119.04,"provisorisch"
"2021-01-01T11:00+0100","Zch_Stampfenbachstrasse","WD","h1","°",334.3,"provisorisch"
"2021-01-01T11:00+0100","Zch_Stampfenbachstrasse","WVv","h1","m/s",1.58,"provisorisch"
"2021-01-01T11:00+0100","Zch_Stampfenbachstrasse","WVs","h1","m/s",1.81,"provisorisch"
"2021-01-01T11:00+0100","Zch_Schimmelstrasse","T","h1","°C",3.24,"provisorisch"
"2021-01-01T11:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",82.41,"provisorisch"
"2021-01-01T11:00+0100","Zch_Schimmelstrasse","p","h1","hPa",959.46,"provisorisch"
"2021-01-01T11:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T11:00+0100","Zch_Schimmelstrasse","WD","h1","°",328.07,"provisorisch"
"2021-01-01T11:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",1.2,"provisorisch"
"2021-01-01T11:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",1.26,"provisorisch"
"2021-01-01T11:00+0100","Zch_Rosengartenstrasse","T","h1","°C",2.61,"provisorisch"
"2021-01-01T11:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",88.25,"provisorisch"
"2021-01-01T11:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",957.17,"provisorisch"
"2021-01-01T11:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0,"provisorisch"
"2021-01-01T11:00+0100","Zch_Rosengartenstrasse","WD","h1","°",86.58,"provisorisch"
"2021-01-01T11:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.14,"provisorisch"
"2021-01-01T11:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.39,"provisorisch"
"2021-01-01T12:00+0100","Zch_Stampfenbachstrasse","T","h1","°C",2.46,"provisorisch"
"2021-01-01T12:00+0100","Zch_Stampfenbachstrasse","Hr","h1","%Hr",86.6,"provisorisch"
"2021-01-01T12:00+0100","Zch_Stampfenbachstrasse","p","h1","hPa",956.44,"provisorisch"
