"zeitpunkt","bruttolastgang","status"
"2021-01-04T02:45",53623.492532,"E"
"2021-01-04T03:00",53492.552417,"E"
"2021-01-04T03:15",53513.975170,"E"
"2021-01-04T03:30",53309.207879,"E"
"2021-01-04T03:45",53240.360425,"E"
"2021-01-04T04:00",53363.698262,"E"
"2021-01-04T04:15",53793.531105,"E"
"2021-01-04T04:30",53981.355053,"E"
"2021-01-04T04:45",54734.271084,"E"
"2021-01-04T05:00",55598.925576,"E"
"2021-01-04T05:15",57762.853119,"E"
"2021-01-04T05:30",59632.498367,"E"
"2021-01-04T05:45",61290.038439,"E"
"2021-01-04T06:00",64023.782411,"E"
"2021-01-04T06:15",67819.450015,"E"
"2021-01-04T06:30",70632.773789,"E"
"2021-01-04T06:45",73841.829378,"E"
"2021-01-04T07:00",76733.510551,"E"
"2021-01-04T07:15",80939.694455,"E"
"2021-01-04T07:30",83776.828226,"E"
"2021-01-04T07:45",86632.257600,"E"
"2021-01-04T08:00",88840.568894,"E"
"2021-01-04T08:15",91258.233394,"E"
"2021-01-04T08:30",92422.868579,"E"
"2021-01-04T08:45",93365.574119,"E"
"2021-01-04T09:00",94663.300467,"E"
"2021-01-04T09:15",95223.292499,"E"
"2021-01-04T09:30",96244.636268,"E"
"2021-01-04T09:45",96862.530191,"E"
"2021-01-04T10:00",97551.348930,"E"
"2021-01-04T10:15",97479.427726,"E"
"2021-01-04T10:30",98562.543038,"E"
"2021-01-04T10:45",98955.877781,"E"
"2021-01-04T11:00",99201.302010,"E"
"2021-01-04T11:15",99829.923745,"E"
"2021-01-04T11:30",99900.771439,"E"
"2021-01-04T11:45",100586.557757,"E"
"2021-01-04T12:00",102246.454703,"E"
"2021-01-04T12:15",102494.259949,"E"
"2021-01-04T12:30",101444.520959,"E"
"2021-01-04T12:45",100282.791123,"E"
"2021-01-04T13:00",99509.423621,"E"
"2021-01-04T13:15",99125.018570,"E"
"2021-01-04T13:30",99226.660817,"E"
"2021-01-04T13:45",98670.735307,"E"
"2021-01-04T14:00",98182.028187,"E"
"2021-01-04T14:15",97856.757072,"E"
